2025-08-23 13:34:37 | INFO     | root                      | ====================================================================================================
2025-08-23 13:34:37 | INFO     | root                      | 🚀 Company Research Agent - Logging System Initialized
2025-08-23 13:34:37 | INFO     | root                      | 📅 Started at: 2025-08-23 13:34:37
2025-08-23 13:34:37 | INFO     | root                      | 📁 Log file: /Users/user/Desktop/ootsukashoukai/borrowing_backend/fixind_merged/merged/logs/log.txt
2025-08-23 13:34:37 | INFO     | root                      | 🔧 Log level: INFO
2025-08-23 13:34:37 | INFO     | root                      | ====================================================================================================
2025-08-23 13:34:49 | INFO     | root                      | 📝 Received research request for 大塚商会
2025-08-23 13:34:49 | INFO     | root                      | 🚀 Starting research for 大塚商会 at 13:34:49
2025-08-23 13:34:50 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:34:50 | INFO     | backend.nodes.curator     | Curator initialized with relevance threshold: 0.4
2025-08-23 13:34:50 | INFO     | backend.graph             | 🚀 Starting research workflow for 大塚商会
2025-08-23 13:34:50 | INFO     | backend.graph             | ⏰ Workflow started at: 13:34:50
2025-08-23 13:34:50 | INFO     | backend.nodes.grounding   | Websocket manager found in state
2025-08-23 13:34:50 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:34:50 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:34:50 | INFO     | backend.nodes.grounding   | ✅ Grounding completed in 0.00s for 大塚商会
2025-08-23 13:34:50 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:34:50 | INFO     | backend.nodes.researchers.base | 🔍 Generating queries for 大塚商会 as company_analyzer
2025-08-23 13:34:55 | INFO     | httpx                     | HTTP Request: POST https://lab-teama.openai.azure.com/openai/deployments/gpt-5-mini/chat/completions?api-version=2024-12-01-preview "HTTP/1.1 200 OK"
2025-08-23 13:34:55 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:34:55 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:34:55 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:34:55 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:34:55 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
